Unnamed: 0,country,description,points,price,province,title,variety,winery,wineType
5138,US,"It's rare to see varietal Carmenère outside of Chile, let alone in Long Island, and such a great surprise when it's as tasty as this. It's lusciously fruity yet pristinely fresh, boasting crisp black-plum and cherry flavors that penetrate deeply on the palate. A herbaceous swathe of green leaf and bramble only accentuates the freshness. Fine firm tannins need a few years to meld. Hold until 2020.",92,24.0,New York,Osprey's Dominion 2013 Carmenère (North Fork of Long Island),Carmenère,Osprey's Dominion,red
85637,Chile,A magenta color and ripe grapy aromas of black fruits accented by spice and olive open this plump wide-bodied Carmenère. Spicy black cherry and blackberry flavors are stout and rock solid on a unwavering finish. Drink through 2020.,92,22.0,Maule Valley,Alcance 2014 Gran Reserva Carmenère (Maule Valley),Carmenère,Alcance,red
52666,US,"It's rare to see varietal Carmenère outside of Chile, let alone in Long Island, and such a great surprise when it's as tasty as this. It's lusciously fruity yet pristinely fresh, boasting crisp black-plum and cherry flavors that penetrate deeply on the palate. A herbaceous swathe of green leaf and bramble only accentuates the freshness. Fine firm tannins need a few years to meld. Hold until 2020.",92,24.0,New York,Osprey's Dominion 2013 Carmenère (North Fork of Long Island),Carmenère,Osprey's Dominion,red
93635,Chile,"Rooty aromas of baking spices and black fruits are restrained and delicate on the nose. This is full, round and mildly tannic, with baked plum, berry, spice and peppery flavors. Toast, nutmeg and bright acidity carry the finish on this blend of 71% Carmenère, with additions of Cabernet Sauvignon, Cabernet Franc and Petit Verdot. Drink through 2017.",91,29.0,Colchagua Valley,Estampa 2012 Gold Carmenère (Colchagua Valley),Carmenère,Estampa,red
123487,Chile,"One of the best value-priced, big and rich wines you're likely to find. The nose impresses with potent blackberry, cedar and marzipan aromas, and the palate bridges the gap between power and elegance. Tastes great, with herbal black cherry and cola leading the way. Very ripe but really well made.",91,13.0,Rapel Valley,Lapostolle 2008 Casa Carmenère (Rapel Valley),Carmenère,Lapostolle,red
102489,US,"Even if winemaker Jason Lett tripled the price of this wine, it would still be a standout among its peers. This opens with intense aromatics of pineapple fruit, bracing acidity and compelling length. On the second and third day after opening, it remained quite fresh and expressive, with further details of fruit and mineral beginning to emerge. Drink now through 2035.",96,27.0,Oregon,The Eyrie Vineyards 2014 Estate Chardonnay (Dundee Hills),Chardonnay,The Eyrie Vineyards,white
101584,US,"Massive, opulent, oozing in pineapple créme brulée, honey, buttered toast and cinnamon spice flavors. Totally decadent, and fortunately set off with brisk, citrusy acidity. Calling all lobsters, and don't forget the drawn butter. Sheer hedonism in a glass, at a fantastic price.",95,26.0,California,Melville 2008 Chardonnay (Sta. Rita Hills),Chardonnay,Melville,white
101586,US,"Massively fruity and oaky, this is an atom bomb of a Chardonnay. You either love this style or you hate it. The pineapple tart, apricot, pear, peach, crème brûlée, buttered toast, vanilla cream and cinnamon spice flavors go on and on. Beyond the utter richness is firm acidity and a bracing minerality. Defines California-style decadence, but drink now, as the wine will quickly go downhill.",95,25.0,California,Au Bon Climat 2007 Los Alamos Vineyard Chardonnay (Santa Barbara County),Chardonnay,Au Bon Climat,white
117843,US,"This splendid effort is sourced from the Durant Vineyard, and aged in neutral French oak for seven months prior to bottling. Spicy and dense, it's a lively blend of lime, apple, apricot and pear fruits. A trickle of juicy acidity pulls the flavors through into a finish with streaks of vanilla and clove. The 20-year-old vines provide the complexity and detail that will reward another decade of aging. Drink now through 2025.",94,29.0,Oregon,DanCin 2013 Chassé Chardonnay (Dundee Hills),Chardonnay,DanCin,white
28575,US,"Starts with an opulent, inviting aroma of smoky honey, vanilla, tangerines, Meyer lemons, yellow apricots, green apples and minerals. In the mouth, the flavors are very similar—an explosion of fruits, spices and toast. Just a tremendous wine, but for all the volume and complexity, it's completely balanced.",94,20.0,California,Alma Rosa 2006 Chardonnay (Santa Barbara County),Chardonnay,Alma Rosa,white
20359,US,"Kiona's ice wines are legendary, and this latest is as excellent as any they've done. Butterscotch scents invite further exploration. As the wine coats the mouth, it comes into lush focus with brown sugar, molasses, vanilla, cooked banana and more butterscotch. It's low in alcohol, but maintains sufficient acidity to stay buoyant and lively. Residual sugar is a hefty 170 g/L.",94,25.0,Washington,Kiona 2012 Ice Wine Chenin Blanc (Red Mountain),Chenin Blanc,Kiona,white
8971,US,"The aromas draw you in with notes of kiwi, pineapple and mango. Brown sugar and tropical fruit flavors are intensely sweet and rich, with an unctuous feel.",93,25.0,Washington,Kiona 2014 Estate Bottled Ice Wine Chenin Blanc (Red Mountain),Chenin Blanc,Kiona,white
31467,France,"The abbey of Marmoutier was founded in the 4th century by Saint Martin. The walled vineyard is owned by the city of Tours, across the Loire from Vouvray. The wine is off dry, ripe with pear and honey and deliciously balanced with the acidity. It is young and will repay aging, so drink from 2020.",93,26.0,Loire Valley,Domaine Vigneau-Chevreau 2015 Abbaye de Marmoutier Clos du Rougemont  (Vouvray),Chenin Blanc,Domaine Vigneau-Chevreau,white
37831,US,"For years, Foxen has been producing one of the best Chenin Blancs in California, and with this 2009, they have outdone themselves. It's so rich in orange, honeydew and pineapple flavors, it might almost be Chardonnay, except it's drier and more minerally, and there's a wonderful note of dried herbs. Although production was only 575 cases, this wine is worth a special search, especially for sommeliers.",93,22.0,California,Foxen 2009 Ernesto Wickenden Vineyard Old Vines Chenin Blanc (Santa Maria Valley),Chenin Blanc,Foxen,white
82268,US,"These old, head-trained bush vines make for stunning wines year after year. This vintage shows lemon rind, orange-laced tonic water, yellow pear and a fragrant chilled Pink Lady apple element on the nose. The palate is all about tense texture, but also shows refreshing flavors of green pluot, tart plum and a touch of sweet basil.",92,25.0,California,Chalone Vineyard 2014 Heritage Vines Chenin Blanc (Chalone),Chenin Blanc,Chalone Vineyard,white
33792,Italy,"Hands down one of Italy's best whites, this boasts alluring white flower and yellow stone fruit scents. The enveloping, delicious palate delivers white peach, mature pear, ginger and lemon drop flavors. Fresh acidity brightens the creamy flavors while a mineral note energizes the finish.",94,29.0,Veneto,Gini 2015 La Froscà  (Soave Classico),Garganega,Gini,white
118083,Italy,"Linear and mineral driven, this intriguing white opens with aromas of beeswax, acacia, citrus, stone fruit and a yeasty whiff of bread crust. On the expressive palate, a mineral note underscores juicy yellow peach, nectarine and apple. There's a lot going on and a lot to enjoy here.",93,20.0,Veneto,I Stefanini 2015 Monte di Fice  (Soave Classico),Garganega,I Stefanini,white
6917,Italy,"Year in year out, this wine is always one of the best Soaves and the 2013 is no exception. Elegant and impeccably balanced with vibrant acidity, it delivers crisp yellow apple, Bartlett pear, creamy white peach, almond and lemon zest sensations. Notes of saline and energizing mineral close the lingering finish. Drink through 2020.",93,29.0,Veneto,Gini 2013 La Froscà  (Soave Classico),Garganega,Gini,white
36586,Italy,"This enticingly fragrant wine offers scents of white spring flower, apple, ginger and flint. On the elegantly structured palate, radiant acidity underscores crisp apple, Bosc pear, white peach and lemon drop, while a salty mineral note closes the tangy finish. It's an impressive effort for what was overall a washout vintage. Drink through 2024.",92,29.0,Veneto,Gini 2014 La Froscà  (Soave Classico),Garganega,Gini,white
2872,Italy,"Made with fruit from old vines, this deliciously oak-aged Soave Classico is rich and opulent with lovely tones of stone fruit, dusty mineral, melon, dried sage and vanilla spice. The roundness and fullness of the mouthfeel promises five years or more of cellar aging potential.",91,25.0,Veneto,Gini 2010 Contrada Salvarenza Vecchie Vigne  (Soave Classico),Garganega,Gini,white
116840,US,"With zero residual sugar, this winning white comes as advertised: dry and delightful in its floral, fresh and fleshy character, vibrantly supported in acidity. Peach, lime and pear flavors find length and purpose along a medium-bodied texture that's just the right amount of plush.",94,25.0,California,Gundlach Bundschu 2016 Estate Vineyard Dry Gewürztraminer (Sonoma Coast),Gewürztraminer,Gundlach Bundschu,white
79082,US,"This sweet wine has a deep yellow-gold color and enticing aromas of honey, apricot and toasted almonds. Full bodied, it offers vibrant flavors like pineapple and apricot. Almost electrifyng acidity keeps the sweetness from being cloying and propels the layers of flavor to a lingering finish. It will continue to improve through at least 2026.",94,25.0,California,Husch 2013 Estate Late Harvest Gewurztraminer (Anderson Valley),Gewürztraminer,Husch,white
8985,US,"This exceptional wine explodes in classic, characteristic aromas of rose water, dried rose petals and orange blossom, so floral and sublime. Edgy in taste, with a trace of salt, it exhibits no oak, celebrating instead an exuberance of fresh pear and grapefruit.",93,25.0,California,Dutton-Goldfield 2014 Dutton Ranch Green Valley Vineyard Gewürztraminer (Green Valley),Gewürztraminer,Dutton-Goldfield,white
10933,France,"A funky smoky notion of yeast clings to the nose on which a pure lemon streak becomes apparent. A generous, luscious and almost creamy sweetness then conquers the palate, boosting all of the fruit flavors, wrapping them in its creamy mellow embrace. The pure lemon streak counters and brightens the richness and around the edges there is grapefruit spice. This is all rather beguiling but not overdone. The finish is moreish, medium sweet and long.",93,29.0,Alsace,Willm 2012 Kirchberg de Barr Grand Cru Clos Gaensbroennel Gewurztraminer (Alsace),Gewürztraminer,Willm,white
46094,France,"The aromas are rather shy on the nose—there is just a mere floral whiff. The palate is dry and lets us see subtle varietal aromas: golden peach, a touch of honeysuckle spice, a hint of jasmine, aromatic orange zest. This is a restrained, streamlined and elegant varietal expression. Drink now through 2030.",93,27.0,Alsace,Trimbach 2014 Gewurztraminer (Alsace),Gewürztraminer,Trimbach,white
124198,Austria,"A wonderfully intense nose speaks of yarrow and moss, mirabelle plums and lifted, invigorating freshness. The palate fizzes away with flavor and excitement. This is a very lively, concentrated wine that flirts with us right now but has its real treasure of fruit still buried in its deep core. This will blossom with bottle age: Right now, the zesty tangerine peel flavors merely hint at the pleasures to come. Drink 2020–2030.",94,29.0,Kamptal,Eichinger 2015 Ried Gaisberg Reserve Grüner Veltliner (Kamptal),Grüner Veltliner,Eichinger,white
89477,Austria,"Ripe pear shot through with savory notes of lovage and yeast create an appetizing nose. The palate holds the same savory dimension but is streamlined by welcome, citric freshness reminiscent of grapefruit peel. A phenolic component makes for real mouthfeel and texture—one of the characteristic joys of Grüner. This is a tight little bomb waiting to go off. It will do so in great fashion from about 2018.",94,27.0,Wachau,Eder 2013 Süssenberg Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Eder,white
29893,Austria,"On the nose, aromas of russet apple and pear skin mingle with fresh citrus zest and a hint of ripe pear. The palate underlines the ripe fruit which is bedded in a soft but very fresh and concentrated core of savory yeast. Each layer shimmers with fruit, freshness and spice. The palate has a real dynamic energy and is lovely now but will be even lovelier in two or three years' time.",94,28.0,Kamptal,Eichinger 2014 Gaisberg Reserve Grüner Veltliner (Kamptal),Grüner Veltliner,Eichinger,white
27551,Austria,"Beautifully pure notions of sun-ripened mirabelle plum appear on the nose, edged with aromatic hints of ivy and herb. The palate makes the fine ripe fruit even more distinct, presenting it on a concentrated body made taut by clearly delineated, lively citrus freshness. This is pristine and beautiful, lasting and impressive. The finish shines with the expressive purity.",94,29.0,Wachau,Eder 2015 Süssenberg Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Eder,white
15545,Austria,"This wine pulls off a daring feat: despite palate weight and concentration it has a light, almost delicate, feathery citrus touch and a streamlined, fresh palate. The aromatic expression is just beginning to unfold, promising freshly cut apples and oceans of green and dried spice. This should carry a danger-warning: seriously, deliciously addictive! Beautiful now but it deserves maturing. Drink as of 2016–2017.",94,28.0,Kamptal,Eichinger 2013 Gaisberg Reserve Grüner Veltliner (Kamptal),Grüner Veltliner,Eichinger,white
117857,France,"From one of the top estates in Cahors, this complex, dense wine is both structured and packed with great fruit. At the moment, the tannins are in charge, big, bold and dense. Over the next few years the opulent black fruits will come out strongly, bringing richness along with impressive concentration. Drink from 2019.",94,20.0,Southwest France,Château du Cèdre 2012 Cèdre Héritage Malbec (Cahors),Malbec,Château du Cèdre,red
85331,France,"This is a taut, dense and minerally wine that's packed with as much tannin as black currant fruit. The structure and layers of acidity demand long-term aging.",94,25.0,Southwest France,Jean-Luc Baldès 2008 Clos Triguedina Les Petites Cailles Malbec (Cahors),Malbec,Jean-Luc Baldès,red
117869,France,"A bold statement of dark Malbec, it's very rich and very concentrated. The wine has considerable tannins to go with the weight of its fruit. With excellent potential, this wine, made from old-vine grapes, should age for at least seven years",93,19.0,Southwest France,Domaine de Cause 2009 La Lande Cavagnac Malbec (Cahors),Malbec,Domaine de Cause,red
114732,France,"Wood aged and serious, this is a finely balanced wine. Its spice and toast notes are beginning to come together with its young, exuberant fruit and acidity. Black currant flavors dominate, giving it a crisp, juicy edge. Drink this impressive wine from 2021.",93,24.0,Southwest France,Château Haut-Monplaisir 2014 Prestige Malbec (Cahors),Malbec,Château Haut-Monplaisir,red
104466,France,"This is a powerful wine, full of dark fruits and dense dry tannins. Even at four years old, it is still young. It is impressive in its concentration with fine acidity  and black-plum flavors mingling with the tannins. Drink this serious wine from 2018.",93,24.0,Southwest France,Château Haut-Monplaisir 2012 Prestige Malbec (Cahors),Malbec,Château Haut-Monplaisir,red
110043,France,"In any given year, one or the other of Trignon's varietal cuvées excels, and 2013 is a Marsanne year. The delicate aromas of white pepper and spring blossoms immediately intrigue, and the flavors don't disappoint. This wine is floral, spicy and fruity all at once, with a long, mouthwatering finish. Drink now.",92,19.0,Rhône Valley,Château du Trignon 2013 Marsanne (Côtes du Rhône),Marsanne,Château du Trignon,white
76290,France,"In any given year, one or the other of Trignon's varietal cuvées excels, and 2013 is a Marsanne year. The delicate aromas of white pepper and spring blossoms immediately intrigue, and the flavors don't disappoint. This wine is floral, spicy and fruity all at once, with a long, mouthwatering finish. Drink now.",92,19.0,Rhône Valley,Château du Trignon 2013 Marsanne (Côtes du Rhône),Marsanne,Château du Trignon,white
9523,Australia,"Tasted at their regular release date less than a year after the vintage, the Tahbilk Marsannes aren't terribly expressive. The key is bottle age, and this Museum Release has it. Lemon custard and thyme are tinged with hints of toast and marmalade in this medium-bodied white. A touch of creaminess on the midpalate extends through a long finish.",92,23.0,Victoria,Tahbilk 2009 Museum Release Marsanne (Nagambie Lakes),Marsanne,Tahbilk,white
129903,France,"A fine value for a northern Rhône of this quality, this bottling from the Tain cooperative is full bodied and ripe, but with enough acidity for balance. Modest pear and melon flavors evolve on the palate into bolder honey and bergamot notes on the long finish. Drink now.",91,27.0,Rhône Valley,Cave de Tain 2015 Grand Classique Marsanne (Saint-Péray),Marsanne,Cave de Tain,white
97438,US,"Bee pollen, honey mead and lemon polish mingle in the bouquet; turning smooth and supple in the mouth. This is a rich and buttery wine, with excellent acidity behind the ripe fruit. The flavors gather strength as the wine pours over the tongue and down the back of the throat, finishing with a lick of butterscotch.",91,25.0,Washington,Darby 2009 Boushey Vineyard Marsanne (Yakima Valley),Marsanne,Darby,white
81917,US,"Once again the Merlot is the best of a very fine flight of Tulpen wines. More muscular than the Cabernet, it includes 10% Malbec and 5% Petit Verdot in the mix, resulting in a dense, dark wine loaded with black fruits. Polished tannins are lightly layered in streaks of leaf, herb and earth. The alcohol tops 15%, but there is not a hint of heat in the finish.",94,28.0,Washington,Tulpen 2007 Merlot (Columbia Valley (WA)),Merlot,Tulpen,red
37828,US,"As in past vintages, this is half DuBrul and half Meek vineyard fruit. It's a far cry from what most consumers would think of as Merlot—this is a stiff, tannic, muscular wine, with a deep earthiness that speaks of rich loam and ancient rock. It strikes me as more typical of Malbec. The tannins are firm and dense, and the fruits are black as coal and laced with tar and smoke.",93,28.0,Washington,Stevens 2008 Merlot (Yakima Valley),Merlot,Stevens,red
112258,Canada,"Precise and polished, this wine offers up a mix of fig, plum, black cherry, chocolate and caramel. A streak of graphite underscores the polished tannins. Good already, this can be cellared and enjoyed through 2028 and perhaps beyond.",93,27.0,British Columbia,Tinhorn Creek 2013 Oldfield Series Merlot (Okanagan Valley),Merlot,Tinhorn Creek,red
31198,US,"Run, don't walk, to find this rich Merlot. It shows vast berry, currant, mocha, licorice and cola flavors, wrapped into superfine tannins and balanced with fine acidity. Easy to find, with 7,600 cases produced.",93,25.0,California,Chateau St. Jean 2007 Merlot (Sonoma County),Merlot,Chateau St. Jean,red
59707,US,"Right out of the chute this has sappy, delicious black cherry fruit, accented with scents of tobacco and graphite. Streaks of ash and more juicy berries fill the middle, as it unfolds into a taut, sculpted finish. A classical style from a vintage that favors it; accessible, yet built for cellaring.",93,28.0,Washington,Seven Hills 2008 Seven Hills Vineyard Merlot (Walla Walla Valley (WA)),Merlot,Seven Hills,red
77340,Spain,"Dusty, earthy plum and cherry aromas are a bit scratchy but enjoyable and powerful. A smooth, plummy palate entertains flavors of toasty black fruits and peppery spice, while the finish is meaty and full, with easy tannins. Drink through 2017.",91,18.0,Levante,Montgó 2012 Monastrell (Alicante),Monastrell,Montgó,red
76957,US,"Bokisch's 100% Monastrell is brooding with dark fruit—black cherries, currants and blackberries. It shows a cinnamon-swirled earth note and a layer of herb, with medium body. As such, it would be a beautiful wine with roasted meats like lamb or chicken that are swaddled in herbs or anise. The tannins are soft but structured enough to age.",91,21.0,California,Bokisch 2010 Belle Colline Vineyard Monastrell (Clements Hills),Monastrell,Bokisch,red
93640,Spain,"Punchy black-cherry and plum aromas are dry, earthy and toasty, with stony minerality and crispness. This is a full, lively, generous Monastrell offering blackberry, spiced cake and chocolate flavors over a dark, coffee-laden finish that goes the distance. Drink through 2018.",91,17.0,Levante,Volver 2012 Tarima Hill Estate Bottled Old Vines Monastrell (Alicante),Monastrell,Volver,red
68172,US,"Also known as Mourvèdre. This Spanish-inspired Monastrell from Bokisch, grown on a hillside, is brawny with plenty of earth and bacon bite to it, yet also floral, rich yet also bright, tasting of black cherry and pomegranate with a menthol tobacco chaser.",91,21.0,California,Bokisch 2008 Belle Colline Vineyard Monastrell (Clements Hills),Monastrell,Bokisch,red
115620,Spain,"Dusty, earthy plum and cherry aromas are a bit scratchy but enjoyable and powerful. A smooth, plummy palate entertains flavors of toasty black fruits and peppery spice, while the finish is meaty and full, with easy tannins. Drink through 2017.",91,18.0,Levante,Montgó 2012 Monastrell (Alicante),Monastrell,Montgó,red
39370,Australia,"This wine shows a grape jelly note that might be a little on the ripe side, but the cedary, cigar box characters balance things out beautifully. The palate is medium bodied, with a long line of focused acidity, herbs, an earthy core and a long cigar-box finish.",91,25.0,South Australia,5OS Project 2014 Montepulciano (South Australia),Montepulciano,5OS Project,red
110265,Italy,"Tre Saggi (“three wise men”) is a plush and rich, oak-driven Montepulciano designed by an Italian winemaker who is an absolute expert on barrel aging and oak toast. Dark chocolate, spice, clove and blackberry are presented in an incredibly soft and integrated fashion.",90,20.0,Central Italy,Talamonti 2011 Tre Saggi  (Montepulciano d'Abruzzo),Montepulciano,Talamonti,red
19630,Italy,"Tre Saggi, or three wise men, is a terrific wine at a realistic price. This luscious vintage shows bright fruit nuances of black cherry and currant backed by soft, oak-inspired aromas of spice, leather and tobacco.",90,20.0,Central Italy,Talamonti 2008 Tre Saggi  (Montepulciano d'Abruzzo),Montepulciano,Talamonti,red
87732,Italy,"Chewy, rich and dense, this is redolent of ripe blackberry, plum, prune and moist pipe tobacco. There's also a pretty floral tone that gives the wine an almost feminine personality. It's tight and firmly structured as well.",90,19.0,Central Italy,Cantina Tollo 2008 Aldiano Riserva  (Montepulciano d'Abruzzo),Montepulciano,Cantina Tollo,red
87719,Italy,"There's a dark, savory quality to this richly concentrated wine that is reminiscent of aromas of air-dried beef or spicy bresaola. You'll also get ripe fruit and blackberry jam and there's a textured, gritty quality to the firm but ripe tannins.",90,29.0,Central Italy,Masciarelli 2006 Marina Cvetic'  (Montepulciano d'Abruzzo),Montepulciano,Masciarelli,red
74813,US,"With 21% residual sugar, this is an enormously sweet wine, one of the most honeyed of the vintage. A little sugar goes a long way, of course, but this wine also charms with rich, powerful apricot, peach and vanilla custard flavors, perfectly balanced with crisp acidity. With consistently high scores over the years, Tears of Dew has taken a place in the front ranks of California dessert white wines.",95,22.0,California,EOS 2006 Tears of Dew Late Harvest Moscato (Paso Robles),Moscato,EOS,white
112446,Italy,"This is an extraordinary, golden dessert wine with intense and penetrating notes of honey, marron glacé, dried apricot, marzipan, candied lemon, dried mint and jasmine. It's smooth, rich and long lasting in the mouth. The wine has personality and power and boasts magnetic appeal across the board.",94,29.0,Southern Italy,Di Majo Norante 2006 Apianae Moscato (Molise),Moscato,Di Majo Norante,white
46848,US,"A stunning and unusual white wine out of Lodi made by Jim Moore, with tremendous aromatics of honeysuckle and melon and a genius balancing between sweetness and acidity. Grapes—technically Moscato Giallo—were harvested from the Bella Vigna Vineyard fully ripe but at low brix, allowing this bottling to maintain a very low 12% alcohol level. An amazing deal for a wine that jumps out of the glass, all bright and starry eyed.",92,16.0,California,Uvaggio 2009 Moscato Secco Moscato (Lodi),Moscato,Uvaggio,white
3370,US,"This bone-dry and floral wine will taste great with simple appetizers like toasted nuts or fresh cheeses. It is very well concentrated and has medium to full body. An opulent texture helps carry the floral, appley, grapefruity flavors into the finish.",92,16.0,California,Uvaggio 2015 Secco Moscato (Lodi),Moscato,Uvaggio,white
